,name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
0,Maruti Swift Dzire VDI,450000,145500,Diesel,Individual,Manual,1,23.4,1248,74.0,5.0,7
1,Skoda Rapid 1.5 TDI Ambition,370000,120000,Diesel,Individual,Manual,2,21.14,1498,103.52,5.0,7
2,Honda City 2017-2020 EXi,158000,140000,Petrol,Individual,Manual,3,17.7,1497,78.0,5.0,15
3,Hyundai i20 Sportz Diesel,225000,127000,Diesel,Individual,Manual,1,23.0,1396,90.0,5.0,11
4,Maruti Swift VXI BSIII,130000,120000,Petrol,Individual,Manual,1,16.1,1298,88.2,5.0,14
5,Hyundai Xcent 1.2 VTVT E Plus,440000,45000,Petrol,Individual,Manual,1,20.14,1197,81.86,5.0,4
6,Maruti Wagon R LXI DUO BSIII,96000,175000,LPG,Individual,Manual,1,17.3,1061,57.5,5.0,14
7,Maruti 800 DX BSII,45000,5000,Petrol,Individual,Manual,2,16.1,796,37.0,4.0,20
8,Toyota Etios VXD,350000,90000,Diesel,Individual,Manual,1,23.59,1364,67.1,5.0,10
9,Ford Figo Diesel Celebration Edition,200000,169000,Diesel,Individual,Manual,1,20.0,1399,68.1,5.0,8
10,Renault Duster 110PS Diesel RxL,500000,68000,Diesel,Individual,Manual,2,19.01,1461,108.45,5.0,7
11,Maruti Zen LX,92000,100000,Petrol,Individual,Manual,2,17.3,993,60.0,5.0,16
12,Maruti Swift Dzire VDi,280000,140000,Diesel,Individual,Manual,2,19.3,1248,73.9,5.0,12
14,Maruti Wagon R LXI Minor,180000,90000,Petrol,Individual,Manual,2,18.9,1061,67.0,5.0,12
15,Mahindra KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,Individual,Manual,1,18.15,1198,82.0,5.0,5
16,Maruti Ertiga SHVS VDI,778000,70000,Diesel,Individual,Manual,2,24.52,1248,88.5,7.0,5
17,Hyundai i20 1.4 CRDi Asta,500000,53000,Diesel,Individual,Manual,2,23.0,1396,90.0,5.0,9
18,Maruti Alto LX,150000,80000,Petrol,Individual,Manual,2,19.7,796,46.3,5.0,19
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,Individual,Manual,1,22.54,1396,88.73,5.0,5
20,Mahindra Verito 1.5 D4 BSIII,174000,100000,Diesel,Individual,Manual,2,21.0,1461,64.1,5.0,10
21,Honda WR-V i-DTEC VX,950000,50000,Diesel,Individual,Manual,1,25.5,1498,98.6,5.0,4
22,Maruti Swift Dzire ZDI,525000,40000,Diesel,Individual,Manual,1,26.59,1248,74.0,5.0,6
23,Maruti SX4 ZDI,600000,72000,Diesel,Individual,Manual,1,21.5,1248,88.8,5.0,9
24,Tata Tigor 2017-2020 XZ,500000,35000,Petrol,Individual,Manual,1,20.3,1199,83.81,5.0,3
25,Maruti Baleno Delta 1.2,575000,45000,Petrol,Individual,Manual,1,21.4,1197,83.1,5.0,5
26,Maruti Alto 800 LXI,275000,28000,Petrol,Individual,Manual,1,24.7,796,47.3,5.0,4
27,Chevrolet Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,Individual,Manual,1,18.2,1248,73.8,7.0,8
28,Maruti Wagon R LXI Minor,220000,120000,Petrol,Individual,Manual,1,18.9,1061,67.0,5.0,12
29,Maruti Omni E MPI STD BS IV,254999,25000,Petrol,Individual,Manual,1,16.8,796,34.2,8.0,3
30,Maruti Vitara Brezza LDi Option,670000,70000,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,4
32,Maruti Omni 8 Seater BSIV,150000,35000,Petrol,Individual,Manual,2,14.0,796,35.0,5.0,9
33,Hyundai i20 1.2 Asta Dual Tone,730000,2388,Petrol,Individual,Manual,1,18.6,1197,81.83,5.0,3
34,Maruti Vitara Brezza LDi,650000,16200,Diesel,Individual,Manual,1,24.3,1248,88.5,5.0,4
